SYMBOL_CODE,SYMBOL_NAME,TRADE_DATE,SECTOR_NAME,MARKET,HIGH_PRICE_52_WEEK,HIGH_PRICE_52_IND,LOW_PRICE_52_WEEK,LOW_PRICE_52_IND,DAYS_HIGH_PRICE,DAYS_LOW_PRICE,CLOSE_PRICE,CLOSE_NET_CHANGE,CLOSE_PERCENT_CHANGE,LAST_TRADED_PRICE,BID_PRICE,ASK_PRICE,TOTAL_TRADED_VOLUME,TRADE_VALUE,NUM_OF_TRADES,MARKET_CAP,TOTALISSUEDSHARES,PRE_DIVIDEND_AMOUNT,PRE_DIV_CURR,DIVIDEND_AMOUNT,DIV_CURR
MEEG,MAIN EVENT ENTERTAINMENT GROUP,10/27/2017,OTHER,Junior Market,8.000000,,2.610000,,5.840000,5.050000,5.060000,-0.110000,-2.127660,5.300000,5.300000,5.840000,166999.000000,845063.450000,5,300005000.000000,1518025300.000000,,,,
PROVEN8.25,PROVEN 8.25 CUMULATIVE REDEEMABLE PREFERENCE SHARES,10/27/2017,FINANCE,Main Market,6.170000,,4.980000,,0.000000,0.000000,5.470000,0.000000,0.000000,5.500000,5.500000,6.000000,0.000000,0.000000,0,419593412.000000,2295175963.640000,,,,
NCBFG,NCB FINANCIAL GROUP LIMITED ,10/27/2017,FINANCE,Main Market,110.000000,,58.500000,,107.000000,105.000000,106.250000,-0.310000,-0.290916,105.000000,104.400000,107.000000,367951.000000,39094910.370000,34,2466762828.000000,262093550475.000000,,,,
CAB11A,CABLE BAHAMAS LTD FR REDEEMABLE CUMULATIVE USD PREFERENCE SHAR,10/27/2017,COMMUNICATIONS,USD Market,,,,,0.000000,0.000000,1000.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0,4090.000000,4090000.000000,,,,
CAB11B,CABLE BAHAMAS LTD FR REDEEMABLE CUMULATIVE JMD PREFERENCE SHAR,10/27/2017,OTHER,Main Market,1000000.000000,,1000000.000000,,0.000000,0.000000,1000000.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,0,1349.000000,1349000000.000000,,,,
ECL,EXPRESS CATERING LIMITED,10/27/2017,OTHER,Junior Market,5.600000,,1.740000,,4.940000,4.600000,4.790000,-0.180000,-3.621730,4.650000,4.900000,4.940000,56588.000000,270892.720000,9,1637500000.000000,7843625000.000000,,,,
SOS,STATIONERY AND OFFICE SUPPLIES LIMITED,10/27/2017,OTHER,Junior Market,6.000000,,3.500000,,5.470000,5.470000,5.470000,0.000000,0.000000,5.470000,5.360000,5.470000,1986.000000,10863.420000,2,250120500.000000,1368159135.000000,,,,
PBS,PRODUCTIVE BUSINESS SOLUTION LTD USD ORDINARY SHARES,10/27/2017,OTHER,USD Market,0.720000,,0.575000,,0.000000,0.000000,0.576400,0.000000,0.000000,0.575000,0.576000,0.600000,0.000000,0.000000,0,123272727.000000,71054399.842800,,,,
PBS9.75,PRODUCTIVE BUSINESS SOLUTIONS LTD 9.75% CUMULATIVE REDEEMABLE ,10/27/2017,OTHER,Main Market,105.000000,,100.000000,,0.000000,0.000000,104.450000,0.000000,0.000000,105.000000,0.000000,105.000000,0.000000,0.000000,0,25800000.000000,2694810000.000000,,,,
SBJPSA,SAGICOR BANK JA CLASS A 7.75% CUMULATIVE REDEEMABLE PREFERENCE,10/27/2017,FINANCE,Main Market,1.050000,,1.050000,,0.000000,0.000000,1.050000,0.000000,0.000000,1.050000,1.040000,0.000000,0.000000,0.000000,0,646800000.000000,679140000.000000,,,,
SBJPSB,SAGICOR BANK JA CLASS B 8.25% CUMULATIVE REDEEMABLE PREFERENCE,10/27/2017,FINANCE,Main Market,,,,,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.060000,0.000000,0.000000,0.000000,0,1414700000.000000,1414700000.000000,,,,
NCBFGFR2021,NCB FINANCIAL GROUP LIMITED 6.00% US-DOLLAR INDEXED BONDS,10/27/2017,FINANCE,Bond Market,131.588400,,131.221700,,0.000000,0.000000,132.019820,0.000000,0.000000,132.019820,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,,,,
